1659
GN6110,FS9111Y,2
GM2111Y,NONE,1
PR5110,PR5112Y,2
HD3112Y,NONE,0
PS3110,PL5111Y,2
HB3110,FS9111Y,2
GD4110,GB3111Y,2
NY3110,MF2111Y,2
FE3111Y,NONE,1
YQH112Y,NONE,0
VNA110,NONE,2
TA5111Y,TA5112Y,1
GM9112Y,NONE,0
2845230101,FV5112Y,2
VHC110,VGY111Y,2
ER4111Y,ER4112Y,1
HN5110,CR7111Y,2
X5C110,TF7111Y,2
NS9110,MF2111Y,2
FE1111Y,FE1112Y,1
NC6110,MF2111Y,2
PK7112Y,NONE,0
CN4111Y,CN4112Y,1
GA7110,NONE,2
FU5112Y,NONE,0
PP6110,PP6112Y,2
Z53110,Z53111Y,2
FH7110,FE4112Y,2
GY7110,GY6111Y,2
Z67111Y,Z67112Y,1
EE1111Y,EE1112Y,1
GU6110,VEP111Y,2
FZ8110,FZ2111Y,2
MC9112Y,NONE,0
ML3110,MF2111Y,2
EM6110,VQB111Y,2
MA8110,MA8111Y,2
EBC110,EBC111Y,2
Z70110,RX2111Y,2
EK4110,VQM111Y,2
NU2110,MF2111Y,2
GZ4111Y,GZ4112Y,1
YT2111Y,YT2112Y,1
2969830700,KV2111Y,2
CY5112Y,NONE,0
KP8112Y,NONE,0
VJU110,NONE,2
VB1110,VQM111Y,2
NB3110,MF2111Y,2
Z6Z110,RX2111Y,2
V60110,PG4111Y,2
YY2112Y,NONE,0
RZ4110,RZ4111Y,2
TC7110,TC7111Y,2
TA5110,TA5111Y,2
HP5110,EP6111Y,2
VHD110,VGY111Y,2
RX2110,RX2111Y,2
YQQ111Y,YQQ112Y,1
X31111Y,NONE,1
VJC112Y,NONE,0
FY1110,FY1111Y,2
LU9110,LU9112Y,2
HF5111Y,HF5112Y,1
GH5110,FS9111Y,2
TM8112Y,NONE,0
V83112Y,NONE,0
PB6110,MF2111Y,2
LS5112Y,NONE,0
KF1112Y,NONE,0
KA3110,KA3111Y,2
EG5110,VQB111Y,2
667440036,FE4112Y,2
V9E110,V9E112Y,2
GF7110,GF7111Y,2
VL8110,PL5111Y,2
KZ8110,KZ8112Y,2
YU9110,YT3111Y,2
KT8110,HY2111Y,2
MB7112Y,NONE,0
VT1110,VT1111Y,2
MU6110,MU4111Y,2
HB4110,FS9111Y,2
Z53112Y,NONE,0
X05110,PG4111Y,2
HK3110,GZ4111Y,2
KF7110,FS9111Y,2
TA6112Y,NONE,0
2GV111Y,2GV112Y,1
667440109,FE4112Y,2
VC5110,VC1111Y,2
MU4111Y,MU4112Y,1
GC9110,VGY111Y,2
TB2110,TB2111Y,2
UC8110,PG4111Y,2
EU4110,EU4111Y,2
FT7110,NONE,2
EL8111Y,EL8112Y,1
US8112Y,NONE,0
RY8110,PL5111Y,2
FA3112Y,NONE,0
FE5112Y,NONE,0
FE1110,FE1111Y,2
KH7111Y,KH7112Y,1
VAN110,NONE,2
HC8112Y,NONE,0
HC3110,FL1111Y,2
PR6111Y,PR6112Y,1
HT3110,GF4111Y,2
PP4110,PG4111Y,2
2GV110,2GV111Y,2
KU3110,FS9111Y,2
UH3112Y,NONE,0
RX2112Y,NONE,0
VR9110,PL5111Y,2
VFU111Y,VFU112Y,1
2FV110,KF1111Y,2
NV2112Y,NONE,0
2GE110,MP5111Y,2
MG4110,MG4111Y,2
TC6112Y,NONE,0
KA4112Y,NONE,0
PE2110,MF2111Y,2
MF2110,MF2111Y,2
GE5110,NONE,2
ES6111Y,ES6112Y,1
EN1110,EN1112Y,2
2FC111Y,2FC112Y,1
ED7112Y,NONE,0
FC9110,FC9111Y,2
UE8111Y,UE8112Y,1
RX5110,RX5111Y,2
PE8112Y,NONE,0
EH6110,VQB111Y,2
EP9112Y,NONE,0
KP8111Y,KP8112Y,1
FL8110,VGY111Y,2
W29110,GS5111Y,2
HU9110,VQB111Y,2
VGX110,VEP111Y,2
DS5112Y,NONE,0
RZ5112Y,NONE,0
HF6110,HF6111Y,2
VAR110,NONE,2
KA2111Y,KA2112Y,1
HD3111Y,HD3112Y,1
GG6110,FR6111Y,2
GF9111Y,GF9112Y,1
YY2110,YY2111Y,2
NN2110,MF2111Y,2
ML7110,FS9111Y,2
NT7110,NT7111Y,2
KV5112Y,NONE,0
TA5112Y,NONE,0
GR1110,FS9111Y,2
KN5110,KN5111Y,2
HV4110,CR7111Y,2
VC1111Y,VC1112Y,1
2AY110,W48111Y,2
HF1112Y,NONE,0
V5E110,V5E111Y,2
PK6112Y,NONE,0
HE2110,FY1111Y,2
EG1110,VQB111Y,2
NZ6110,MF2111Y,2
CR3120,NONE,2
MZ7111Y,MZ7112Y,1
UR9111Y,UR9112Y,1
GH1110,GH1111Y,2
V8U110,V8T111Y,2
VDU112Y,NONE,0
ER2110,ER2111Y,2
VFT110,VFT111Y,2
GS2111Y,GS2112Y,1
667440024,FE4112Y,2
667440025,FE4112Y,2
KG2110,FS9111Y,2
GS5112Y,NONE,0
PL5111Y,PL5112Y,1
MF2111Y,MF2112Y,1
2AR110,2AR111Y,2
TY2110,TM8111Y,2
VEP110,VEP111Y,2
VJC111Y,VJC112Y,1
TB6110,PG4111Y,2
GU7112Y,NONE,0
TM8111Y,TM8112Y,1
GC1110,GB9111Y,2
FY5110,FY1111Y,2
FZ7112Y,NONE,0
HY2111Y,HY2112Y,1
NP5110,MF2111Y,2
2969820200,KZ8112Y,2
RY4110,PL5111Y,2
ES6112Y,NONE,0
PK4111Y,PK4112Y,1
X2S111Y,X2S112Y,1
NB4110,MF2111Y,2
HC7110,EV4111Y,2
PC8110,PC8111Y,2
EL8110,EL8111Y,2
PC7110,PC7111Y,2
VAQ110,NONE,2
PE6110,VEP111Y,2
TF8110,TF8111Y,2
GN2111Y,GN2112Y,1
2FW112Y,NONE,0
MU4112Y,NONE,0
PD7110,PD7111Y,2
PK4110,PK4111Y,2
GA3110,GA3111Y,2
EJ2112Y,NONE,0
GF4112Y,NONE,0
MT8110,MF2111Y,2
UD5110,PG4111Y,2
PC9112Y-YP PC9112Y-KL,NONE,0
KB1112Y,NONE,0
KV2110,KV2111Y,2
MT7110,MF2111Y,2
MR6110,MF2111Y,2
MC2111Y,MC2112Y,1
UC5110,UC5111Y,2
KA2112Y,NONE,0
EL5112Y,NONE,0
HA4110,VGY111Y,2
VGF111Y,VGF112Y,1
CZ9110,XQZ111Y,2
VMY110,NONE,2
CR7111Y,CR7112Y,1
GA3111Y,GA3112Y,1
FX2111Y,FX2112Y,1
RU5111Y,RU5112Y,1
GH6110,FS9111Y,2
FD4110,FY1111Y,2
GP5110,GP5111Y,2
V92112Y,NONE,0
GH9110,FS9111Y,2
RX5112Y,NONE,0
VQB112Y,NONE,0
UF6110,PG4111Y,2
GV7110,FE1111Y,2
YXQ110,W48111Y,2
EV4110,EV4111Y,2
GK1110,FS9111Y,2
NB7110,MF2111Y,2
NC2110,MF2111Y,2
VD4110,PG4111Y,2
NV4112Y,NONE,0
GY8110,GY6111Y,2
EU7112Y,NONE,0
VV8111Y,VV8112Y,1
YU5110,RX2111Y,2
VQK110,NONE,2
GP5111Y,GP5112Y,1
2969831700,KN4111Y,2
MZ7110,MZ7111Y,2
FG3112Y,NONE,0
UR9112Y,NONE,0
X38110,TF7111Y,2
FG3110,FG3111Y,2
ES7110,ES7111Y,2
PD7111Y,NONE,1
VPY112Y,NONE,0
Z47110,W48111Y,2
ZY3110,V5A111Y,2
UC9110,UC9111Y,2
HF2110,HF2111Y,2
V5E111Y,V5E112Y,1
UE8112Y,NONE,0
MU2110,MF2111Y,2
GE8111Y,GE8112Y,1
NS5110,MF2111Y,2
ME9110,GB3111Y,2
W22110,VP3111Y,2
NP6110,MF2111Y,2
HY1110,HY1111Y,2
S4C110,YQQ111Y,2
HK7110,GZ6111Y,2
MD9110,MD9111Y,2
VJB111Y,VJB112Y,1
ZD4110,V5E111Y,2
GG2110,FC9111Y,2
NN9110,NN9111Y,2
W48111Y,W48112Y,1
Z18111Y,Z18112Y,1
VND110,XQZ111Y,2
Z52112Y,NONE,0
2FB110,2FB111Y,2
2FN110,PG4111Y,2
HR6110,HR9112Y,2
FE9110,FE5112Y,2
LG8112Y,NONE,0
UR1112Y,NONE,0
VC1112Y,NONE,0
VMV110,NONE,2
KE9110,FS9111Y,2
HF1111Y,HF1112Y,1
EF9110,EF9111Y,2
PK6111Y,PK6112Y,1
X2A111Y,X2A112Y,1
2841710101,EJ4111Y,2
FV5112Y,NONE,0
2AF112Y,NONE,0
TD6111Y,TD6112Y,1
ZH5110,ZH5111Y,2
TA6110,TA6111Y,2
NZ4110,MF2111Y,2
HD9111Y,HD9112Y,1
HB7110,FS9111Y,2
2FW111Y,2FW112Y,1
ER2111Y,ER2112Y,1
PC4112Y-YP PC4112Y-KL,NONE,0
HH1111Y,HH1112Y,1
2DR111Y,2DR112Y,1
ES5111Y,ES5112Y,1
VHG110,VGY111Y,2
MC2112Y,NONE,0
EP9110,EP9111Y,2
KU2110,KT9111Y,2
ZG6111Y,ZG6112Y,1
2BT110,2BT111Y,2
EU7110,EU7111Y,2
GS5111Y,GS5112Y,1
MH9110,MF2111Y,2
VHN110,VHN111Y,2
KG6110,GB3111Y,2
NV9111Y,NV9112Y,1
VL4110,PG4111Y,2
VEP112Y,NONE,0
VAU110,NONE,2
GF4110,GF4111Y,2
2969830800,GF1111Y,2
FS9110,FS9111Y,2
HF6112Y,NONE,0
NV2110,NV2112Y,2
MK4110,VEP111Y,2
HA6112Y,NONE,0
VGF112Y,NONE,0
V7X111Y,V7X112Y,1
PK8110,PK8111Y,2
HS1110,HR9112Y,2
UD9110,UD9111Y,2
HK5110,GZ5111Y,2
CN4112Y,NONE,0
2DV110,2DV111Y,2
TN3110,TF6111Y,2
GP6111Y,GP6112Y,1
GB9112Y,NONE,0
Z08110,PG4111Y,2
MG3110,MG3111Y,2
X4C110,PG4111Y,2
VMU110,NONE,2
2CD110,V5A111Y,2
VP3112Y,NONE,0
X9U111Y,X9U112Y,1
NY1112Y,NONE,0
EH9110,NONE,2
VFT112Y,NONE,0
ES2111Y,ES2112Y,1
HD3110,HD3111Y,2
V5A110,V5A111Y,2
GY2111Y,GY2112Y,1
VB9110,VB9111Y,2
TE8110,TF6111Y,2
TF4110,RV6112Y,2
GZ4112Y,NONE,0
MU5112Y,NONE,0
KV7110,KV7111Y,2
2845220101,KA4111Y,2
ED7111Y,ED7112Y,1
ES1112Y,NONE,0
MP9110,MP5111Y,2
KF8110,FS9111Y,2
PR1110,PL5111Y,2
HD5111Y,HD5112Y,1
TA4112Y,NONE,0
YY2111Y,YY2112Y,1
PD3110,MG4111Y,2
ES3110,ES3111Y,2
GU5110,FL1111Y,2
GD1110,GB3111Y,2
CR7112Y,NONE,0
EF9111Y,EF9112Y,1
NT3110,MF2111Y,2
GS4110,FY1111Y,2
LH9110,MF2111Y,2
PH9111Y,PH9112Y,1
Z15110,PG4111Y,2
V92111Y,V92112Y,1
FD3110,FY1111Y,2
RV4110,RV4111Y,2
MA4111Y,MA4112Y,1
VQB111Y,VQB112Y,1
MS3110,MF2111Y,2
Z8P110,X2A111Y,2
FX2110,FX2111Y,2
X9U110,X9U111Y,2
GZ6110,GZ6111Y,2
EJ7112Y,NONE,0
FE2110,FE2111Y,2
